PID CMD
1320 cupsd
1351 gdm3
1545 kerneloops
1542 kerneloops
1169 ModemManager
1104 NetworkManager
1050 rsyslogd
1016 thermald
1106 wpa_supplicant
3280 chrome_crashpad
3225 Discord
3300 Discord
3377 Discord
3420 Discord
3306 Discord
3231 Discord
3233 Discord
3230 Discord
708 UVM
707 UVM
709 UVM
86 watchdogd
